         17039216 function calls (16064202 primitive calls) in 117.497 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2835/1    0.023    0.000  117.499  117.499 {built-in method builtins.exec}
        1    0.001    0.001  117.499  117.499 model_select:8(<module>)
        1    0.000    0.000  108.006  108.006 sample.py:101(sample)
       11    0.000    0.000  108.004    9.819 ensemble.py:251(sample)
       21    0.001    0.000  107.997    5.143 ensemble.py:451(compute_log_prob)
      176    0.000    0.000  107.996    0.614 ensemble.py:622(__call__)
      176    0.001    0.000  107.996    0.614 sample.py:220(lnpost)
      142    0.005    0.000  107.975    0.760 sample.py:182(lnlike)
      142    0.131    0.001  107.966    0.760 Flowsclass_dev.py:335(__call__)
     6532    2.884    0.000  103.684    0.016 flow.py:438(get_logprob)
     6532    0.044    0.000  100.666    0.015 base.py:65(log_prob)
594412/6532    1.098    0.000  100.366    0.015 module.py:1124(_call_impl)
     6532    0.012    0.000  100.350    0.015 base.py:54(forward)
     6532    0.354    0.000  100.334    0.015 base.py:44(_cascade)
    39192    1.835    0.000   96.121    0.002 coupling.py:72(forward)
       10    0.001    0.000   94.868    9.487 red_blue.py:52(propose)
    39192    0.328    0.000   64.095    0.002 resnet.py:92(forward)
    78384    1.817    0.000   56.459    0.001 resnet.py:39(forward)
   313536    0.478    0.000   50.401    0.000 linear.py:113(forward)
   313536   49.723    0.000   49.723    0.000 {built-in method torch._C._nn.linear}
    39192    0.082    0.000   29.920    0.001 coupling.py:205(_coupling_transform_forward)
    39192    0.227    0.000   29.838    0.001 coupling.py:211(_coupling_transform)
    39192    2.690    0.000   28.886    0.001 coupling.py:481(_piecewise_cdf)
    39192    6.896    0.000   26.086    0.001 rational_quadratic.py:13(unconstrained_rational_quadratic_spline)
    38624   10.021    0.000   18.253    0.000 rational_quadratic.py:64(rational_quadratic_spline)
    78384    0.143    0.000    6.127    0.000 functional.py:1471(glu)
    78384    5.946    0.000    5.946    0.000 {built-in method torch._C._nn.glu}
      274    0.006    0.000    5.675    0.021 __init__.py:1(<module>)
  2980/81    0.009    0.000    5.107    0.063 <frozen importlib._bootstrap>:1002(_find_and_load)
  2887/16    0.007    0.000    5.105    0.319 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
  2771/17    0.007    0.000    5.100    0.300 <frozen importlib._bootstrap>:659(_load_unlocked)
  2513/15    0.004    0.000    5.099    0.340 <frozen importlib._bootstrap_external>:844(exec_module)
  3741/15    0.002    0.000    5.096    0.340 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
 1069/107    0.001    0.000    4.715    0.044 {built-in method builtins.__import__}
5467/2799    0.004    0.000    4.434    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       66    0.001    0.000    4.205    0.064 pytables.py:306(read_hdf)
       66    0.000    0.000    4.082    0.062 pytables.py:799(select)
       66    0.000    0.000    4.032    0.061 pytables.py:1926(get_result)
       66    0.121    0.002    4.014    0.061 pytables.py:855(func)
        1    0.000    0.000    3.963    3.963 bbh_models.py:107(get_models)
        1    0.000    0.000    3.908    3.908 bbh_models.py:91(read_hdf5)
       66    0.002    0.000    3.893    0.059 pytables.py:3196(read)
     6532    1.675    0.000    3.878    0.001 Flowsclass_dev.py:375(map_obs)
    39192    1.925    0.000    3.576    0.000 normalization.py:98(forward)
       39    0.002    0.000    3.531    0.091 __init__.py:2(<module>)
        1    0.000    0.000    2.666    2.666 bbh_models.py:1(<module>)
        1    0.000    0.000    2.665    2.665 Flowsclass_dev.py:1(<module>)
        1    0.000    0.000    2.663    2.663 flow.py:1(<module>)
       66    0.000    0.000    2.331    0.035 _decorators.py:323(wrapper)
       66    0.000    0.000    2.331    0.035 concat.py:146(concat)
       66    0.001    0.000    2.317    0.035 concat.py:565(get_result)
       66    0.001    0.000    2.288    0.035 concat.py:176(concatenate_managers)
      319    2.287    0.007    2.287    0.007 {method 'copy' of 'numpy.ndarray' objects}
    77248    0.067    0.000    2.189    0.000 functional.py:1804(softmax)
  1959600    2.174    0.000    2.174    0.000 Flowsclass_dev.py:392(logistic)
    77248    2.109    0.000    2.109    0.000 {method 'softmax' of 'torch._C._TensorBase' objects}
   156768    0.145    0.000    1.615    0.000 functional.py:1446(relu)
